WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
3.0,0.0,1.19580934,1.095999964,772.237686722,704.596452634,1049.403277719,1254.886240923,1.3,Bal sell 53.902283635 | Borrow 156.853071337
3.0,1.0,1.223049754,1.208550543,838.630867302,693.91460056,1114.24343524,1362.775159366,1.3,Bal sell 65.618057237 | Borrow 66.393180580
3.0,2.0,1.390779737,1.34922581,1013.713116016,751.32947243,1184.431847619,1647.283813526,1.3,Bal sell 72.350099580 | Borrow 175.082248714
3.0,3.0,1.240045957,1.355722382,903.846107066,670.290013018,1184.431847619,1468.749923982,1.3,Repay 109.867008950
3.0,4.0,1.148507276,1.410169727,837.12528918,622.975979389,1184.431847619,1360.328594917,1.3,Repay 66.720817886
3.0,5.0,1.015731953,1.609619137,842.273257177,523.274877775,1347.495310028,1368.694042913,1.3,Bal sell 102.899353846 | Borrow 5.147967997
3.0,6.0,1.168647403,1.685595868,969.075012073,598.501542305,1347.495310028,1574.746894619,1.3,Borrow 126.801754896
3.0,7.0,1.2413086,1.785627193,1090.635774594,610.78582297,1427.753850828,1772.283133716,1.3,Bal sell 55.793066610 | Borrow 121.560762521
3.0,8.0,1.447141195,1.908527945,1317.678431266,690.416105626,1479.625801688,2141.227450808,1.3,Bal sell 39.331903497 | Borrow 227.042656672
3.0,9.0,1.311040556,1.979132269,1193.753497672,627.800314082,1479.625801688,1939.849433717,1.3,Repay 123.924933594
