WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
2.0,0.0,1.081828734,1.006873658,665.740759385,665.396991416,1000.0,1081.828734,1.3,Borrow 50.356144000
2.0,1.0,0.964081748,1.050580226,613.780867838,584.230363991,1034.553254748,997.393910237,1.3,Bal sell 31.708346885 | Repay 51.959891547
2.0,2.0,0.802035794,1.087265051,510.614609912,489.344339805,1034.553254748,829.748741107,1.3,Repay 103.166257926
2.0,3.0,0.67403134,1.132599699,455.961820712,402.579853336,1099.263364604,740.937958657,1.3,Bal sell 38.510200998 | Repay 54.652789200
2.0,4.0,0.710613567,1.194581021,496.063933608,415.261857411,1134.377289638,806.103892113,1.3,Bal sell 20.888019382 | Borrow 40.102112896
2.0,5.0,0.673713101,1.232121989,470.30451785,394.355310829,1134.377289638,764.244841506,1.3,Repay 25.759415758
2.0,6.0,0.610917063,1.405232896,478.071987543,340.208366104,1271.64066419,776.866979758,1.3,Bal sell 59.674476649 | Borrow 7.767469693
2.0,7.0,0.647092,1.533628535,533.261397681,347.712229859,1339.144621216,866.549771232,1.3,Bal sell 28.482301655 | Borrow 55.189410138
2.0,8.0,0.56197058,1.701359984,499.00440347,293.297366908,1442.92634614,810.882155638,1.3,Bal sell 34.279797748 | Repay 34.256994211
2.0,9.0,0.486307422,1.79819853,449.297404359,249.859732873,1501.33074071,730.108282084,1.3,Bal sell 15.794969289 | Repay 49.706999111
