Step,YieldPrice,Collateral,Debt,YieldUnits,HealthBefore,HealthAfter,Action
0.000000000,1.000000000,1000.000000000,615.384615385,615.384615385,1.300000000,1.300000000,none
1.000000000,1.100000000,1061.538461539,615.384615385,559.440559440,1.300000000,1.380000000,Bal sell 55.944055945
2.000000000,1.200000000,1117.482517482,615.384615385,512.820512821,1.380000000,1.452727273,Bal sell 46.620046619
3.000000000,1.300000000,1168.764568764,719.239734624,553.261334327,1.452727273,1.300000000,Bal sell 39.447731755 | Borrow 103.855119239
4.000000000,1.500000000,1279.416835631,719.239734624,479.493156416,1.300000000,1.423076923,Bal sell 73.768177911
5.000000000,2.000000000,1519.163413839,934.869793132,467.434896566,1.423076923,1.300000000,Bal sell 119.873289104 | Borrow 215.630058508
6.000000000,3.000000000,1986.598310405,1222.522037172,407.507345724,1.300000000,1.300000000,Bal sell 155.811632189 | Borrow 287.652244040
