WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.000000000,0.000000000,1.055770719,1.003751613,649.705057846,649.576782069,1000.000000000,1055.770719000,1.300000000,Borrow 34.320442461
0.000000000,1.000000000,0.960763736,1.037358834,591.239222154,593.216500770,1000.000000000,960.763736000,1.300000000,Repay 58.465835692
0.000000000,2.000000000,1.051640923,1.142655863,700.457854449,613.008585638,1082.350437859,1138.244013479,1.300000000,"Sold 75.791052480 YIELD for 86.603090479 MOET, bought 82.350437859 FLOW | Borrow 109.218632295"
0.000000000,3.000000000,1.216613756,1.157557038,810.339957853,707.934450884,1082.350437859,1316.802431511,1.300000000,Borrow 109.882103404
0.000000000,4.000000000,1.178617361,1.162730835,785.032010305,686.168495440,1082.350437859,1275.677016746,1.300000000,Repay 25.307947548
0.000000000,5.000000000,1.045970094,1.250869661,741.773250586,593.006029095,1152.405349940,1205.381532203,1.300000000,"Sold 58.579518922 YIELD for 73.275342975 MOET, bought 70.054912081 FLOW | Repay 43.258759719"
0.000000000,6.000000000,0.847878407,1.288177659,601.292069123,483.951831111,1152.405349940,977.099612325,1.300000000,Repay 140.481181463
0.000000000,7.000000000,0.898711918,1.393474875,682.315735753,489.650547702,1233.724676830,1108.763070598,1.300000000,"Sold 52.446333660 YIELD for 73.082648240 MOET, bought 81.319326890 FLOW | Borrow 81.023666630"
0.000000000,8.000000000,0.798214580,1.516643914,643.130345943,424.048347807,1309.280534763,1045.086812158,1.300000000,"Sold 39.765291542 YIELD for 60.309787406 MOET, bought 75.555857932 FLOW | Repay 39.185389810"
0.000000000,9.000000000,0.897011341,1.518122360,722.731992759,476.482623800,1309.280534763,1174.439488233,1.300000000,Borrow 79.601646816
1.000000000,0.000000000,1.122327701,1.104720909,730.320822959,661.090794073,1057.419625525,1186.771337308,1.300000000,"Sold 58.334766530 YIELD for 64.443636308 MOET, bought 57.419625525 FLOW | Borrow 114.936207574"
1.000000000,1.000000000,1.050611193,1.130485127,683.653473400,619.809977153,1057.419625525,1110.936894275,1.300000000,Repay 46.667349559
1.000000000,2.000000000,1.242752461,1.187562396,840.935624655,708.119108089,1099.591779496,1366.520390064,1.300000000,"Sold 44.132037448 YIELD for 52.409548133 MOET, bought 42.172153971 FLOW | Borrow 157.282151255"
1.000000000,3.000000000,1.040306019,1.204790906,703.945813325,594.414887176,1099.591779496,1143.911946653,1.300000000,Repay 136.989811330
1.000000000,4.000000000,1.184906211,1.313895451,849.210050481,646.330002768,1164.620726283,1379.966332031,1.300000000,"Sold 58.644850991 YIELD for 77.053202942 MOET, bought 65.028946786 FLOW | Borrow 145.264237156"
1.000000000,5.000000000,1.330473490,1.457714142,1010.739284416,693.372764450,1234.486331010,1642.451337176,1.300000000,"Sold 63.767190202 YIELD for 92.954334953 MOET, bought 69.865604728 FLOW | Borrow 161.529233935"
1.000000000,6.000000000,1.349753696,1.670492834,1116.176884819,668.172207687,1343.791421506,1813.787437830,1.300000000,"Sold 88.318217765 YIELD for 147.534949888 MOET, bought 109.305090496 FLOW | Borrow 105.437600403"
1.000000000,7.000000000,1.284174227,1.808819822,1118.823728564,618.537963238,1415.764715325,1818.088558916,1.300000000,"Sold 51.097543177 YIELD for 92.426248955 MOET, bought 71.973293819 FLOW | Borrow 2.646843745"
1.000000000,8.000000000,1.453379419,1.976638440,1330.120298813,672.920384374,1487.185973129,2161.445485572,1.300000000,"Sold 52.514503447 YIELD for 103.802186172 MOET, bought 71.421257804 FLOW | Borrow 211.296570249"
1.000000000,9.000000000,1.663658365,2.147820907,1593.453265230,741.892985601,1556.426253415,2589.361555999,1.300000000,"Sold 53.632112024 YIELD for 115.192171492 MOET, bought 69.240280286 FLOW | Borrow 263.332966417"
2.000000000,0.000000000,1.081828734,1.006873658,665.740759385,665.396991416,1000.000000000,1081.828734000,1.300000000,Borrow 50.356144000
2.000000000,1.000000000,0.964081748,1.050580226,613.780867838,584.230363991,1034.553254748,997.393910237,1.300000000,"Sold 31.708346885 YIELD for 33.312162237 MOET, bought 34.553254748 FLOW | Repay 51.959891547"
