WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.000000000,0.000000000,1.055770719,1.003751613,649.705057846,649.576782069,1000.000000000,1055.770719000,1.300000000,Borrow 34.320442461
0.000000000,1.000000000,0.960763736,1.037358834,591.239222154,593.216500770,1000.000000000,960.763736000,1.300000000,Repay 58.465835692
0.000000000,2.000000000,1.051640923,1.142655863,700.457854449,613.008585638,1082.350437859,1138.244013479,1.300000000,Bal sell 75.791052480 | Borrow 109.218632295
0.000000000,3.000000000,1.216613756,1.157557038,810.339957854,707.934450885,1082.350437859,1316.802431512,1.300000000,Borrow 109.882103405
0.000000000,4.000000000,1.178617361,1.162730835,785.032010306,686.168495441,1082.350437859,1275.677016747,1.300000000,Repay 25.307947548
0.000000000,5.000000000,1.045970094,1.250869661,741.773250586,593.006029096,1152.405349940,1205.381532203,1.300000000,Bal sell 58.579518922 | Repay 43.258759720
0.000000000,6.000000000,0.847878407,1.288177659,601.292069123,483.951831112,1152.405349940,977.099612325,1.300000000,Repay 140.481181463
0.000000000,7.000000000,0.898711918,1.393474875,682.315735754,489.650547702,1233.724676832,1108.763070600,1.300000000,Bal sell 52.446333661 | Borrow 81.023666631
0.000000000,8.000000000,0.798214580,1.516643914,643.130345943,424.048347806,1309.280534763,1045.086812158,1.300000000,Bal sell 39.765291542 | Repay 39.185389811
0.000000000,9.000000000,0.897011341,1.518122360,722.731992759,476.482623799,1309.280534763,1174.439488233,1.300000000,Borrow 79.601646816
1.000000000,0.000000000,1.122327701,1.104720909,730.320822959,661.090794073,1057.419625525,1186.771337308,1.300000000,Bal sell 58.334766530 | Borrow 114.936207574
1.000000000,1.000000000,1.050611193,1.130485127,683.653473399,619.809977152,1057.419625525,1110.936894274,1.300000000,Repay 46.667349560
1.000000000,2.000000000,1.242752461,1.187562396,840.935624654,708.119108088,1099.591779495,1366.520390063,1.300000000,Bal sell 44.132037448 | Borrow 157.282151255
1.000000000,3.000000000,1.040306019,1.204790906,703.945813324,594.414887175,1099.591779495,1143.911946652,1.300000000,Repay 136.989811330
1.000000000,4.000000000,1.184906211,1.313895451,849.210050480,646.330002767,1164.620726281,1379.966332030,1.300000000,Bal sell 58.644850991 | Borrow 145.264237156
1.000000000,5.000000000,1.330473490,1.457714142,1010.739284415,693.372764449,1234.486331008,1642.451337174,1.300000000,Bal sell 63.767190202 | Borrow 161.529233935
1.000000000,6.000000000,1.349753696,1.670492834,1116.176884817,668.172207686,1343.791421504,1813.787437828,1.300000000,Bal sell 88.318217765 | Borrow 105.437600402
1.000000000,7.000000000,1.284174227,1.808819822,1118.823728562,618.537963237,1415.764715323,1818.088558914,1.300000000,Bal sell 51.097543177 | Borrow 2.646843745
1.000000000,8.000000000,1.453379419,1.976638440,1330.120298811,672.920384373,1487.185973127,2161.445485568,1.300000000,Bal sell 52.514503447 | Borrow 211.296570249
1.000000000,9.000000000,1.663658365,2.147820907,1593.453265228,741.892985600,1556.426253413,2589.361555996,1.300000000,Bal sell 53.632112024 | Borrow 263.332966417
2.000000000,0.000000000,1.081828734,1.006873658,665.740759385,665.396991416,1000.000000000,1081.828734000,1.300000000,Borrow 50.356144000
2.000000000,1.000000000,0.964081748,1.050580226,613.780867838,584.230363991,1034.553254748,997.393910237,1.300000000,Bal sell 31.708346885 | Repay 51.959891547
2.000000000,2.000000000,0.802035794,1.087265051,510.614609912,489.344339805,1034.553254748,829.748741107,1.300000000,Repay 103.166257926
2.000000000,3.000000000,0.674031340,1.132599699,455.961820712,402.579853336,1099.263364604,740.937958657,1.300000000,Bal sell 38.510200998 | Repay 54.652789200
2.000000000,4.000000000,0.710613567,1.194581021,496.063933608,415.261857411,1134.377289638,806.103892113,1.300000000,Bal sell 20.888019382 | Borrow 40.102112896
2.000000000,5.000000000,0.673713101,1.232121989,470.304517850,394.355310829,1134.377289638,764.244841506,1.300000000,Repay 25.759415758
2.000000000,6.000000000,0.610917063,1.405232896,478.071987543,340.208366104,1271.640664190,776.866979758,1.300000000,Bal sell 59.674476649 | Borrow 7.767469693
