Step,YieldPrice,Collateral,Debt,YieldUnits,HealthBefore,HealthAfter,Action
0.000000000,1.000000000,1000.000000000,615.384615385,615.384615385,1.300000000,1.300000000,none
1.000000000,1.100000000,1061.538461539,653.254437870,593.867670790,1.300000000,1.300000000,Bal sell 55.944055945 | Borrow 37.869822485
2.000000000,1.200000000,1120.925228617,689.800140687,574.833450573,1.300000000,1.300000000,Bal sell 49.488972565 | Borrow 36.545702817
3.000000000,1.300000000,1178.408573675,725.174506877,557.826543751,1.300000000,1.300000000,Bal sell 44.217957737 | Borrow 35.374366190
4.000000000,1.500000000,1289.973882425,793.830081492,529.220054328,1.300000000,1.300000000,Bal sell 74.376872500 | Borrow 68.655574615
5.000000000,2.000000000,1554.583909589,956.667021286,478.333510643,1.300000000,1.300000000,Bal sell 132.305013582 | Borrow 162.836939794
6.000000000,3.000000000,2032.917420232,1251.026104758,417.008701586,1.300000000,1.300000000,Bal sell 159.444503548 | Borrow 294.359083472
