WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.0,0.0,1.055770719,1.003751613,649.705057846,649.576782069,1000.0,1055.770719,1.3,Borrow 34.320442461
0.0,1.0,0.960763736,1.037358834,591.239222154,593.21650077,1000.0,960.763736,1.3,Repay 58.465835692
0.0,2.0,1.051640923,1.142655863,700.457854449,613.008585638,1082.350437859,1138.244013479,1.3,Bal sell 75.791052480 | Borrow 109.218632295
0.0,3.0,1.216613756,1.157557038,810.339957854,707.934450885,1082.350437859,1316.802431512,1.3,Borrow 109.882103405
0.0,4.0,1.178617361,1.162730835,785.032010306,686.168495441,1082.350437859,1275.677016747,1.3,Repay 25.307947548
0.0,5.0,1.045970094,1.250869661,741.773250586,593.006029096,1152.40534994,1205.381532203,1.3,Bal sell 58.579518922 | Repay 43.258759720
0.0,6.0,0.847878407,1.288177659,601.292069123,483.951831112,1152.40534994,977.099612325,1.3,Repay 140.481181463
0.0,7.0,0.898711918,1.393474875,682.315735754,489.650547702,1233.724676832,1108.7630706,1.3,Bal sell 52.446333661 | Borrow 81.023666631
0.0,8.0,0.79821458,1.516643914,643.130345943,424.048347806,1309.280534763,1045.086812158,1.3,Bal sell 39.765291542 | Repay 39.185389811
0.0,9.0,0.897011341,1.51812236,722.731992759,476.482623799,1309.280534763,1174.439488233,1.3,Borrow 79.601646816
